Country,Computers per Capita
Switzerland,864.58
San Marino,857.14
Sweden,763.01
United States,762.15
Israel,740.35
Canada,699.93
Australia,682.86
Netherlands,682.36
Denmark,655.97
Luxembourg,634.98
Singapore,620.91
Austria,606.8
"Hong Kong, (China)",600.9
United Kingdom,599.82
France,574.97
Norway,572.74
Germany,545.35
"Korea, (South) Republic of",544.92
Bermuda,541.83
Japan,541.63
Ireland,494.29
Estonia,482.88
Finland,481.05
Iceland,478.52
New Zealand,473.73
Slovenia,403.9
Saudi Arabia,376.22
Italy,366.61
Slovakia,358.08
Belgium,348.04
Cyprus,336.58
"Macao, (China)",295.27
Spain,276.51
Czech Republic,240.03
Kuwait,236.65
Saint Kitts and Nevis,234.12
Costa Rica,218.67
Latvia,216.62
Malaysia,196.83
United Arab Emirates,196.76
Poland,192.81
Croatia,189.52
Seychelles,189.36
Dominica,181.89
Qatar,171.19
Bahrain,169.04
Malta,165.08
Mauritius,162.16
Saint Lucia,160.06
Lithuania,155.14
Grenada,151.31
Barbados,148.39
Hungary,146.04
Chile,141.15
Mexico,135.81
S Vincent & Grenadines,135.1
Portugal,133.5
Mongolia,133.12
Belize,131.98
Uruguay,130.24
Russia (Russian Fed.),121.58
Romania,112.98
Maldives,112.08
Namibia,109.49
"Iran, Islamic Republic of",109.14
French Polynesia,109.12
Greenland,107.53
Brazil,105.21
Lebanon,102.08
Peru,100.11
Cabo Verde,96.94
Zimbabwe,92.24
Sudan,89.7
Greece,89.14
Brunei Darussalam,84.77
South Africa,84.58
Argentina,83.39
Venezuela,82.1
Marshall Islands,81.67
Trinidad & Tobago,79.4
Paraguay,77.98
Armenia,66.09
Papua New Guinea,63.58
Jamaica,62.83
Bulgaria,59.25
Thailand,58.34
Jordan,56.71
Tunisia,56.65
Fiji,52.33
Turkey,52.05
El Salvador,50.87
Tonga,49.03
Oman,46.57
Solomon Islands,46.05
Suriname,45.72
Panama,45.6
Botswana,45.22
Philippines,45.14
Nicaragua,42.72
Georgia,42.5
Colombia,42.09
Syrian Arab Republic,42.01
China,40.88
Ecuador,38.86
Guyana,38.6
Ukraine,38.45
Egypt,37.82
Cuba,33.45
Gabon,32.52
Swaziland,32.15
Togo,30.11
"Moldova, Republic of",28.59
Sri Lanka (ex-Ceilan),27.21
Morocco,24.55
Djibouti,23.96
Libyan Arab Jamahiriya,23.55
Bolivia,23.31
Azerbaijan,23.21
Senegal,21.44
Bhutan,20.41
Kyrgyzstan,19.44
Guatemala,18.79
Lao People's Dem. Rep.,17.66
Honduras,15.61
"Gambia, the",15.56
India,15.53
Yemen,14.76
Ivory Coast (Cote d'Ivoire),14.66
Vanuatu,14.47
Equatorial Guinea,14.22
Mauritania,14.09
Indonesia,13.89
Vietnam,12.73
Bangladesh,11.85
Albania,11.7
Algeria,10.65
Kiribati,10.22
Cameroon,9.98
Zambia,9.84
Kenya,9.16
Uganda,8.68
Comoros,8.5
Eritrea,7.95
Myanmar (ex-Burma),7.92
"Tanzania, United Rep. of",7.41
Samoa,6.64
Nigeria,6.28
Somalia,6.28
Mozambique,5.77
Ghana,5.17
Madagascar,5.02
Guinea,4.98
Burundi,4.67
Congo,4.38
Nepal,4.37
Pakistan,4.24
Benin,3.79
Mali,3.33
Ethiopia,3.22
Central African Republic,2.97
Cambodia,2.75
Burkina Faso,2.37
Malawi,1.95
Angola,1.85
Chad,1.59
Niger,0.716