Country,Technology Index
United States,6.24
Taiwan,6.04
Finland,5.92
Sweden,5.8
Japan,5.68
Denmark,5.34
Israel,5.25
Switzerland,5.25
Norway,5.17
Singapore,5.11
Germany,5.08
Canada,5.05
Iceland,5.05
Estonia,5.01
Netherlands,4.98
Australia,4.93
United Kingdom,4.92
Czech Republic,4.88
Spain,4.86
Austria,4.85
Malta,4.85
Portugal,4.78
New Zealand,4.76
Slovenia,4.71
United Arab Emirates,4.71
Slovakia,4.67
Malaysia,4.67
Hungary,4.66
France,4.65
Belgium,4.59
Chile,4.55
Lithuania,4.51
"Hong Kong, (China)",4.49
Bahrain,4.47
Latvia,4.46
Ireland,4.43
Greece,4.42
Cyprus,4.36
South Africa,4.33
Luxembourg,4.28
Thailand,4.24
Brazil,4.24
Mauritius,4.19
Poland,4.19
Croatia,4.15
Mexico,4.13
Romania,4.13
Jamaica,4.12
Italy,4.08
Jordan,4.02
Turkey,4.01
Panama,4
Trinidad & Tobago,3.98
Costa Rica,3.97
Uruguay,3.92
Argentina,3.87
Tunisia,3.87
Bulgaria,3.82
Dominican Republic,3.8
Philippines,3.72
India,3.72
China,3.72
Botswana,3.7
Egypt,3.68
Namibia,3.66
Russia (Russian Fed.),3.65
El Salvador,3.6
Colombia,3.6
Venezuela,3.6
Peru,3.45
Indonesia,3.31
Kenya,3.31
Morocco,3.3
"Macedonia, TFYR",3.26
Uganda,3.22
Ghana,3.21
Georgia,3.18
Guatemala,3.18
Sri Lanka (ex-Ceilan),3.17
Ukraine,3.15
"Tanzania, United Rep. of",3.12
Zimbabwe,3.04
Pakistan,3.02
Ecuador,3.01
Nigeria,2.99
Zambia,2.98
Paraguay,2.94
Vietnam,2.92
Mozambique,2.89
Honduras,2.89
Bolivia,2.81
Nicaragua,2.78
Malawi,2.74
Algeria,2.67
Madagascar,2.64
Bangladesh,2.62
Mali,2.52
Angola,2.3
Ethiopia,2.17
Chad,1.81