Country,Youth Unemployment Rate
Kosovo,55.00
South Africa,53.70
Palestinian Territory,49.90
Greece,37.90
New Caledonia,36.00
Spain,33.60
Nigeria,33.10
Cabo Verde,32.40
Italy,31.00
Morocco,28.80
"Iran, Islamic Republic of",28.30
Serbia,27.50
Georgia,27.10
Algeria,26.40
Croatia,23.90
Albania,22.60
Jamaica,22.40
Sri Lanka (ex-Ceilan),21.80
France,20.20
Turkey,19.90
Portugal,19.50
Belgium,19.10
Cyprus,19.00
Finland,17.40
Sweden,17.00
Romania,16.60
European Union,14.80
El Salvador,14.40
Slovakia,13.90
Bulgaria,13.80
"Tanzania, United Rep. of",13.70
Luxembourg,13.50
India,12.90
Ireland,12.90
Taiwan,12.78
Estonia,12.70
Lithuania,12.20
Australia,11.40
Canada,11.00
United Kingdom,11.00
New Zealand,10.90
Norway,10.20
Denmark,9.90
Hungary,9.70
Poland,9.70
"Korea, (South) Republic of",9.00
Slovenia,8.90
Malta,8.80
United States,8.50
Austria,8.40
Latvia,8.40
"Moldova, Republic of",7.80
Netherlands,7.70
Vietnam,7.30
Czech Republic,6.30
Germany,6.20
"Hong Kong, (China)",6.20
Iceland,6.00
Thailand,5.20
Japan,4.10
Kazakhstan,3.90
Switzerland,2.50